"Indicator","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Display Value","Numeric","Low","High","Comments"
"Tuberculosis - new and relapse cases","Published","1993","Africa","Lower-middle-income","Angola","8269","8269","","",""
"Tuberculosis - new and relapse cases","Published","1994","Africa","Lower-middle-income","Angola","7157","7157","","",""
"Tuberculosis - new and relapse cases","Published","1995","Africa","Lower-middle-income","Angola","5143","5143","","",""
"Tuberculosis - new and relapse cases","Published","1996","Africa","Lower-middle-income","Angola","15424","15424","","",""
"Tuberculosis - new and relapse cases","Published","2001","Africa","Lower-middle-income","Angola","21713","21713","","",""
"Tuberculosis - new and relapse cases","Published","2002","Africa","Lower-middle-income","Angola","29996","29996","","",""
"Tuberculosis - new and relapse cases","Published","2003","Africa","Lower-middle-income","Angola","36079","36079","","",""
"Tuberculosis - new and relapse cases","Published","2004","Africa","Lower-middle-income","Angola","35437","35437","","",""
"Tuberculosis - new and relapse cases","Published","2005","Africa","Lower-middle-income","Angola","37175","37175","","",""
"Tuberculosis - new and relapse cases","Published","2010","Africa","Lower-middle-income","Angola","44655","44655","","",""
"Tuberculosis - new and relapse cases","Published","2011","Africa","Lower-middle-income","Angola","47240","47240","","",""
"Tuberculosis - new and relapse cases","Published","2012","Africa","Lower-middle-income","Angola","51819","51819","","",""
"Tuberculosis - new and relapse cases","Published","1990","Africa","Low-income","Burundi","4575","4575","","",""
"Tuberculosis - new and relapse cases","Published","1991","Africa","Low-income","Burundi","4883","4883","","",""
"Tuberculosis - new and relapse cases","Published","1996","Africa","Low-income","Burundi","3796","3796","","",""
"Tuberculosis - new and relapse cases","Published","1997","Africa","Low-income","Burundi","5335","5335","","",""
"Tuberculosis - new and relapse cases","Published","1998","Africa","Low-income","Burundi","6480","6480","","",""
"Tuberculosis - new and relapse cases","Published","1999","Africa","Low-income","Burundi","6365","6365","","",""
"Tuberculosis - new and relapse cases","Published","2004","Africa","Low-income","Burundi","6871","6871","","",""
"Tuberculosis - new and relapse cases","Published","2005","Africa","Low-income","Burundi","6585","6585","","",""
"Tuberculosis - new and relapse cases","Published","2006","Africa","Low-income","Burundi","6114","6114","","",""
"Tuberculosis - new and relapse cases","Published","2007","Africa","Low-income","Burundi","6284","6284","","",""
"Tuberculosis - new and relapse cases","Published","1991","Africa","Low-income","Benin","2162","2162","","",""
"Tuberculosis - new and relapse cases","Published","1992","Africa","Low-income","Benin","2420","2420","","",""
"Tuberculosis - new and relapse cases","Published","1993","Africa","Low-income","Benin","2335","2335","","",""
"Tuberculosis - new and relapse cases","Published","1994","Africa","Low-income","Benin","2117","2117","","",""
"Tuberculosis - new and relapse cases","Published","1995","Africa","Low-income","Benin","2400","2400","","",""
"Tuberculosis - new and relapse cases","Published","2000","Africa","Low-income","Benin","2697","2697","","",""
"Tuberculosis - new and relapse cases","Published","2001","Africa","Low-income","Benin","2659","2659","","",""
"Tuberculosis - new and relapse cases","Published","2002","Africa","Low-income","Benin","2841","2841","","",""
"Tuberculosis - new and relapse cases","Published","2003","Africa","Low-income","Benin","2940","2940","","",""
"Tuberculosis - new and relapse cases","Published","2008","Africa","Low-income","Benin","3872","3872","","",""
"Tuberculosis - new and relapse cases","Published","2009","Africa","Low-income","Benin","3878","3878","","",""
"Tuberculosis - new and relapse cases","Published","2010","Africa","Low-income","Benin","3756","3756","","",""
"Tuberculosis - new and relapse cases","Published","2011","Africa","Low-income","Benin","4212","4212","","",""
"Tuberculosis - new and relapse cases","Published","1993","Africa","Low-income","Burkina Faso","1443","1443","","",""
