"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS3_48","PUBLISHED","2006","EMR","AFG","86129","","","",""
"WHS3_48","PUBLISHED","2007","EMR","AFG","92202","","","",""
"WHS3_48","PUBLISHED","2008","EMR","AFG","81574","","","",""
"WHS3_48","PUBLISHED","2009","EMR","AFG","64880","","","",""
"WHS3_48","PUBLISHED","2010","EMR","AFG","69397","","","",""
"WHS3_48","PUBLISHED","2011","EMR","AFG","77549","","","",""
"WHS3_48","PUBLISHED","2006","AFR","DZA","1","","","",""
"WHS3_48","PUBLISHED","2007","AFR","DZA","27","","","",""
"WHS3_48","PUBLISHED","2008","AFR","DZA","4","","","",""
"WHS3_48","PUBLISHED","2009","AFR","DZA","0","","","",""
"WHS3_48","PUBLISHED","2010","AFR","DZA","12","","","",""
"WHS3_48","PUBLISHED","2011","AFR","DZA","4","","","",""
"WHS3_48","PUBLISHED","2006","AFR","AGO","1082398","","","",""
"WHS3_48","PUBLISHED","2007","AFR","AGO","1533485","","","",""
"WHS3_48","PUBLISHED","2008","AFR","AGO","1377992","","","",""
"WHS3_48","PUBLISHED","2009","AFR","AGO","1573422","","","",""
"WHS3_48","PUBLISHED","2010","AFR","AGO","1682870","","","",""
"WHS3_48","PUBLISHED","2011","AFR","AGO","1632282","","","",""
"WHS3_48","PUBLISHED","2006","AMR","ARG","212","","","",""
"WHS3_48","PUBLISHED","2007","AMR","ARG","387","","","",""
"WHS3_48","PUBLISHED","2008","AMR","ARG","106","","","",""
"WHS3_48","PUBLISHED","2009","AMR","ARG","86","","","",""
"WHS3_48","PUBLISHED","2010","AMR","ARG","72","","","",""
"WHS3_48","PUBLISHED","2011","AMR","ARG","36","","","",""
"WHS3_48","PUBLISHED","2006","EUR","ARM","0","","","",""
"WHS3_48","PUBLISHED","2007","EUR","ARM","0","","","",""
"WHS3_48","PUBLISHED","2008","EUR","ARM","0","","","",""
"WHS3_48","PUBLISHED","2009","EUR","ARM","0","","","",""
"WHS3_48","PUBLISHED","2010","EUR","ARM","0","","","",""
"WHS3_48","PUBLISHED","2006","EUR","AZE","141","","","",""
"WHS3_48","PUBLISHED","2007","EUR","AZE","108","","","",""
"WHS3_48","PUBLISHED","2008","EUR","AZE","72","","","",""
"WHS3_48","PUBLISHED","2009","EUR","AZE","78","","","",""
"WHS3_48","PUBLISHED","2010","EUR","AZE","50","","","",""
"WHS3_48","PUBLISHED","2011","EUR","AZE","4","","","",""
"WHS3_48","PUBLISHED","2006","AMR","BHS","19","","","",""
"WHS3_48","PUBLISHED","2007","AMR","BHS","1","","","",""
"WHS3_48","PUBLISHED","2008","AMR","BHS","12","","","",""
"WHS3_48","PUBLISHED","2010","AMR","BHS","0","","","",""
"WHS3_48","PUBLISHED","2006","SEAR","BGD","32857","","","",""
"WHS3_48","PUBLISHED","2007","SEAR","BGD","59866","","","",""
"WHS3_48","PUBLISHED","2008","SEAR","BGD","84690","","","",""
"WHS3_48","PUBLISHED","2009","SEAR","BGD","63873","","","",""
"WHS3_48","PUBLISHED","2010","SEAR","BGD","55873","","","",""
"WHS3_48","PUBLISHED","2011","SEAR","BGD","51773","","","",""
"WHS3_48","PUBLISHED","2006","AMR","BLZ","844","","","",""
"WHS3_48","PUBLISHED","2007","AMR","BLZ","845","","","",""
"WHS3_48","PUBLISHED","2008","AMR","BLZ","538","","","",""
"WHS3_48","PUBLISHED","2009","AMR","BLZ","256","","","",""
"WHS3_48","PUBLISHED","2010","AMR","BLZ","150","","","",""
"WHS3_48","PUBLISHED","2011","AMR","BLZ","79","","","",""
"WHS3_48","PUBLISHED","2007","AFR","BEN","0","","","",""
"WHS3_48","PUBLISHED","2008","AFR","BEN","0","","","",""
"WHS3_48","PUBLISHED","2009","AFR","BEN","889597","","","",""
"WHS3_48","PUBLISHED","2011","AFR","BEN","422968","","","",""
"WHS3_48","PUBLISHED","2006","SEAR","BTN","1868","","","",""
"WHS3_48","PUBLISHED","2007","SEAR","BTN","793","","","",""
"WHS3_48","PUBLISHED","2008","SEAR","BTN","329","","","",""
"WHS3_48","PUBLISHED","2009","SEAR","BTN","972","","","",""
"WHS3_48","PUBLISHED","2010","SEAR","BTN","436","","","",""
"WHS3_48","PUBLISHED","2011","SEAR","BTN","194","","","",""
"WHS3_48","PUBLISHED","2006","AMR","BOL","19725","","","",""
"WHS3_48","PUBLISHED","2007","AMR","BOL","14610","","","",""
"WHS3_48","PUBLISHED","2008","AMR","BOL","9742","","","",""
"WHS3_48","PUBLISHED","2009","AMR","BOL","9743","","","",""
"WHS3_48","PUBLISHED","2010","AMR","BOL","13769","","","",""
"WHS3_48","PUBLISHED","2011","AMR","BOL","7143","","","",""
"WHS3_48","PUBLISHED","2006","AFR","BWA","2548","","","",""
"WHS3_48","PUBLISHED","2007","AFR","BWA","390","","","",""
"WHS3_48","PUBLISHED","2008","AFR","BWA","927","","","",""
"WHS3_48","PUBLISHED","2009","AFR","BWA","1024","","","",""
"WHS3_48","PUBLISHED","2010","AFR","BWA","1046","","","",""
"WHS3_48","PUBLISHED","2011","AFR","BWA","432","","","",""
"WHS3_48","PUBLISHED","2006","AMR","BRA","549469","","","",""
"WHS3_48","PUBLISHED","2007","AMR","BRA","458652","","","",""
"WHS3_48","PUBLISHED","2008","AMR","BRA","315746","","","",""
"WHS3_48","PUBLISHED","2009","AMR","BRA","309316","","","",""
"WHS3_48","PUBLISHED","2010","AMR","BRA","334618","","","",""
"WHS3_48","PUBLISHED","2011","AMR","BRA","267045","","","",""
"WHS3_48","PUBLISHED","2006","AFR","BFA","44265","","","",""
"WHS3_48","PUBLISHED","2007","AFR","BFA","44246","","","",""
"WHS3_48","PUBLISHED","2008","AFR","BFA","36514","","","",""
"WHS3_48","PUBLISHED","2009","AFR","BFA","182527","","","",""
"WHS3_48","PUBLISHED","2010","AFR","BFA","804539","","","",""
"WHS3_48","PUBLISHED","2011","AFR","BFA","428113","","","",""
"WHS3_48","PUBLISHED","2006","AFR","BDI","791731","","","",""
"WHS3_48","PUBLISHED","2007","AFR","BDI","1101644","","","",""
"WHS3_48","PUBLISHED","2008","AFR","BDI","876741","","","",""
"WHS3_48","PUBLISHED","2009","AFR","BDI","1185622","","","",""
"WHS3_48","PUBLISHED","2010","AFR","BDI","1763447","","","",""
"WHS3_48","PUBLISHED","2011","AFR","BDI","1571874","","","",""
"WHS3_48","PUBLISHED","2006","WPR","KHM","78696","","","",""
"WHS3_48","PUBLISHED","2007","WPR","KHM","42518","","","",""
"WHS3_48","PUBLISHED","2008","WPR","KHM","42124","","","",""
"WHS3_48","PUBLISHED","2009","WPR","KHM","64595","","","",""
"WHS3_48","PUBLISHED","2010","WPR","KHM","49356","","","",""
"WHS3_48","PUBLISHED","2011","WPR","KHM","57423","","","",""
"WHS3_48","PUBLISHED","2007","AFR","CMR","313083","","","",""
"WHS3_48","PUBLISHED","2009","AFR","CMR","0","","","",""
"WHS3_48","PUBLISHED","2006","AFR","CPV","63","","","",""
"WHS3_48","PUBLISHED","2007","AFR","CPV","2","","","",""
"WHS3_48","PUBLISHED","2008","AFR","CPV","16","","","",""
"WHS3_48","PUBLISHED","2009","AFR","CPV","65","","","",""
